ProviderId,DataYear,OP_10_Score,OP_11_Score,OP_13_Score,OP_14_Score,OP_8_Score,OP_9_Score,OP_10_Sample,OP_11_Sample,OP_13_Sample,OP_14_Sample,OP_8_Sample,OP_9_Sample,MeasureStartDate,MeasureEndDate
010001,2010,0.058,0.005,NULL,NULL,29.3,6.2,1937,1115,NULL,NULL,505,2930,NULL,NULL
010001,2013,Not Available,2.3,8.4,2.9,32.8,5.7,Not Available,1235,739,1850,411,3475,NULL,NULL
010001,2016,6.4,0.9,7.1,2.4,38.1,6.9,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010005,2014,12.4,9.7,6.9,4.1,43.5,3.4,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010006,2012,0.077,0.074,4.7,5.6,Not Available,6.2,1348,769,64,1015,Not Available,1349,NULL,NULL
010006,2015,10.7,4.3,Not Available,3.9,Not Available,7.8,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010007,2011,0.502,0.396,NULL,NULL,N/A,9.4,245,144,NULL,NULL,N/A,616,NULL,NULL
010007,2014,34.7,1.5,Not Available,Not Available,Not Available,12.8,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010008,2012,0.102,Not Available,Not Available,Not Available,Not Available,13,98,Not Available,Not Available,Not Available,Not Available,77,NULL,NULL
010008,2016,3.6,Not Available,Not Available,0.6,Not Available,8.2,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010009,2011,0.598,N/A,NULL,NULL,N/A,14.9,112,N/A,NULL,NULL,N/A,282,NULL,NULL
010011,2012,0.093,0.201,7,3.7,49.3,Not Available,504,139,71,733,71,Not Available,NULL,NULL
010012,2010,0.110,0.100,NULL,NULL,31.8,7.5,392,210,NULL,NULL,44,425,NULL,NULL
010012,2013,14.6,28.1,4.4,4.3,Not Available,4.3,480,192,114,398,Not Available,723,NULL,NULL
010012,2016,6.1,10.8,3.1,Not Available,Not Available,4.2,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010015,2011,0.589,0.435,NULL,NULL,N/A,4.5,107,46,NULL,NULL,N/A,266,NULL,NULL
010016,2012,0.243,0.01,3.9,Not Available,39.7,11.4,614,290,103,Not Available,131,1198,NULL,NULL
010016,2015,33.6,2.0,6.8,4.0,Not Available,9.4,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010018,2012,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL
010018,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010019,2010,0.100,0.007,NULL,NULL,35.8,4.4,649,450,NULL,NULL,204,948,NULL,NULL
010021,2016,4.2,1.3,1.5,Not Available,52.9,9.9,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010022,2010,0.267,0.026,NULL,NULL,53.6,0.8,131,76,NULL,NULL,28,246,NULL,NULL
010023,2012,0.615,0.047,Not Available,2.5,33.3,6.6,535,234,Not Available,672,156,3749,NULL,NULL
010023,2015,11.2,1.0,Not Available,3.8,Not Available,4.9,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010024,2010,0.132,0.338,NULL,NULL,35.8,0.0,499,272,NULL,NULL,165,13,NULL,NULL
010024,2013,8.2,2.3,Not Available,2.9,42.2,3.6,645,343,Not Available,916,206,1491,NULL,NULL
010024,2016,9.1,0.2,Not Available,2.1,45.7,2.3,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010025,2011,0.667,0.180,NULL,NULL,39.4,16.0,258,183,NULL,NULL,66,833,NULL,NULL
010027,2011,0.021,N/A,NULL,NULL,N/A,N/A,97,N/A,NULL,NULL,N/A,N/A,NULL,NULL
010029,2014,52.9,0.8,5.5,3.8,37.8,7.3,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010032,2012,0.5,Not Available,Not Available,Not Available,Not Available,8.4,60,Not Available,Not Available,Not Available,Not Available,83,NULL,NULL
010032,2015,2.1,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010033,2010,0.046,0.013,NULL,NULL,40.0,N/A,482,157,NULL,NULL,5,N/A,NULL,NULL
010034,2012,0.12,0.062,Not Available,Not Available,Not Available,6.3,133,81,Not Available,Not Available,Not Available,287,NULL,NULL
010034,2015,30.9,10.5,Not Available,1.2,Not Available,11.9,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010035,2011,0.229,0.111,NULL,NULL,35.3,3.2,783,592,NULL,NULL,68,757,NULL,NULL
010035,2014,6.6,13.8,11.3,3.1,42.6,6.2,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010036,2011,0.450,0.463,NULL,NULL,37.9,3.7,271,203,NULL,NULL,161,574,NULL,NULL
010036,2014,9.1,9.0,Not Available,Not Available,29.9,6.2,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010038,2011,0.100,0.154,NULL,NULL,33.7,19.8,259,123,NULL,NULL,95,96,NULL,NULL
010039,2010,0.652,0.000,NULL,NULL,30.6,8.7,2166,1629,NULL,NULL,1018,4633,NULL,NULL
010039,2013,17.0,0.2,7.4,5.1,33.5,7.3,2430,1733,2991,2556,809,5416,NULL,NULL
010039,2016,16.5,0.0,4.9,4.7,39.5,7.7,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010040,2014,15.7,15.3,6.6,4.2,43.3,7.0,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010044,2013,5.3,1.4,Not Available,Not Available,Not Available,Not Available,227,74,Not Available,Not Available,Not Available,Not Available,NULL,NULL
010044,2016,3.5,2.3,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010045,2011,0.009,0.006,NULL,NULL,42.6,20.7,228,162,NULL,NULL,61,406,NULL,NULL
010045,2014,1.7,1.8,Not Available,Not Available,42.9,18.0,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010046,2015,3.6,1.9,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010001,2015,6.5,1.6,7.8,3.3,Not Available,5.2,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010005,2012,0.081,0.134,7.4,Not Available,30.2,2.4,559,216,215,Not Available,162,1156,NULL,NULL
010006,2010,0.067,0.055,NULL,NULL,50.0,6.5,1370,899,NULL,NULL,10,1133,NULL,NULL
010006,2014,12.8,5.4,4.8,3.7,44.0,8.2,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010007,2016,24.3,6.1,Not Available,Not Available,Not Available,20.7,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010008,2011,0.054,N/A,NULL,NULL,N/A,7.0,93,N/A,NULL,NULL,N/A,71,NULL,NULL
010008,2014,5.0,Not Available,Not Available,Not Available,Not Available,7.4,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010009,2010,0.624,0.191,NULL,NULL,30.3,13.9,101,47,NULL,NULL,33,266,NULL,NULL
010011,2011,0.096,0.212,NULL,NULL,42.2,N/A,540,151,NULL,NULL,109,N/A,NULL,NULL
010011,2014,6.2,12.9,Not Available,2.9,41.4,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010012,2011,0.116,0.082,NULL,NULL,35.6,4.8,336,158,NULL,NULL,45,462,NULL,NULL
010016,2014,32.9,1.0,3.6,3.2,38.7,9.8,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010018,2010,N/A,N/A,NULL,NULL,N/A,N/A,N/A,N/A,NULL,NULL,N/A,N/A,NULL,NULL
010018,2013,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL
010019,2012,0.093,0,Not Available,4.1,36.1,4.2,796,385,Not Available,728,122,1167,NULL,NULL
010019,2015,19.9,0.3,Not Available,6.0,Not Available,4.2,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010021,2011,0.075,0.012,NULL,NULL,31.0,8.1,226,85,NULL,NULL,87,540,NULL,NULL
010021,2014,12.2,4.8,4.8,5.6,42.3,7.0,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010022,2012,0.108,Not Available,Not Available,Not Available,Not Available,1.6,158,Not Available,Not Available,Not Available,Not Available,254,NULL,NULL
010022,2015,5.6,4.3,Not Available,Not Available,Not Available,2.0,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010023,2010,0.690,0.153,NULL,NULL,39.3,8.3,442,262,NULL,NULL,191,3271,NULL,NULL
010023,2013,52.6,0.4,Not Available,4.1,36.5,7.3,610,244,Not Available,838,189,4043,NULL,NULL
010024,2015,11.1,0.8,Not Available,2.6,Not Available,3.0,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010025,2010,0.669,0.182,NULL,NULL,26.8,15.4,308,159,NULL,NULL,41,752,NULL,NULL
010025,2013,51.3,17.3,Not Available,Not Available,52.3,11.7,265,179,Not Available,Not Available,44,922,NULL,NULL
010029,2012,0.638,0.011,10.1,3.3,38,7.8,937,552,356,866,371,1785,NULL,NULL
010029,2015,51.2,1.9,4.5,2.9,Not Available,7.6,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010032,2010,0.429,0.222,NULL,NULL,31.6,1.9,77,45,NULL,NULL,19,105,NULL,NULL
010032,2013,43.5,Not Available,Not Available,Not Available,Not Available,19.5,85,Not Available,Not Available,Not Available,Not Available,133,NULL,NULL
010033,2012,0.035,0,7.6,2.8,Not Available,Not Available,480,178,79,774,Not Available,Not Available,NULL,NULL
010033,2015,19.3,0.0,5.1,3.4,Not Available,10.5,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010034,2014,17.9,9.1,Not Available,Not Available,Not Available,8.9,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010035,2012,0.162,0.128,Not Available,3.4,37.7,4.2,770,570,Not Available,936,53,815,NULL,NULL
010036,2016,8.0,12.2,Not Available,Not Available,36.8,5.8,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010038,2010,0.069,0.079,NULL,NULL,47.6,14.5,232,139,NULL,NULL,42,76,NULL,NULL
010038,2013,15.3,13.0,6.7,Not Available,31.8,10.2,222,131,165,Not Available,85,88,NULL,NULL
010038,2016,4.5,7.2,12.1,Not Available,52.8,13.9,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010039,2015,29.6,0.6,6.4,5.1,Not Available,6.8,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010040,2012,0.062,0.031,2.5,1.9,34.2,7.3,549,259,79,593,190,381,NULL,NULL
010043,2012,0.081,0.065,Not Available,Not Available,Not Available,9.9,172,93,Not Available,Not Available,Not Available,273,NULL,NULL
010044,2011,0.115,0.000,NULL,NULL,N/A,18.5,165,98,NULL,NULL,N/A,119,NULL,NULL
010044,2014,7.9,4.5,Not Available,Not Available,52.3,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010045,2016,1.6,0.4,Not Available,4.1,49.0,16.5,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010046,2010,0.095,0.029,NULL,NULL,23.8,2.9,433,206,NULL,NULL,42,418,NULL,NULL
010046,2013,12.6,11.1,Not Available,6.0,Not Available,4.0,294,153,Not Available,448,Not Available,322,NULL,NULL
010046,2016,2.1,3.5,Not Available,6.9,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010047,2011,0.058,N/A,NULL,NULL,N/A,N/A,69,N/A,NULL,NULL,N/A,N/A,NULL,NULL
010049,2012,0.03,0.004,8.6,4.9,51.4,5.6,536,283,175,514,70,785,NULL,NULL
010049,2015,2.0,0.8,5.1,5.1,Not Available,8.7,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010050,2012,0.074,0.108,Not Available,Not Available,Not Available,6.8,175,83,Not Available,Not Available,Not Available,237,NULL,NULL
010047,2010,0.125,0.125,NULL,NULL,N/A,N/A,40,16,NULL,NULL,N/A,N/A,NULL,NULL
010047,2013,3.1,Not Available,Not Available,Not Available,Not Available,Not Available,64,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL
010047,2016,2.2,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010049,2010,0.005,0.000,NULL,NULL,38.0,4.2,551,295,NULL,NULL,108,767,NULL,NULL
010049,2013,3.7,0.0,7.7,5.1,38.8,6.7,623,329,261,648,85,1077,NULL,NULL
010050,2010,0.019,0.158,NULL,NULL,57.6,7.0,208,57,NULL,NULL,33,243,NULL,NULL
010051,2011,N/A,N/A,NULL,NULL,N/A,N/A,N/A,N/A,NULL,NULL,N/A,N/A,NULL,NULL
010052,2010,0.017,0.071,NULL,NULL,69.0,N/A,58,14,NULL,NULL,29,N/A,NULL,NULL
010052,2013,0.0,Not Available,6.1,Not Available,Not Available,Not Available,65,Not Available,98,Not Available,Not Available,Not Available,NULL,NULL
010052,2016,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010054,2011,0.056,0.000,NULL,NULL,32.6,10.4,250,201,NULL,NULL,141,384,NULL,NULL
010054,2014,4.2,0.0,1.9,Not Available,32.1,15.0,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010055,2012,0.052,0.001,8,4.4,34.5,4.1,1365,882,562,809,145,3413,NULL,NULL
010055,2015,5.3,0.8,7.1,2.7,Not Available,5.9,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010056,2010,0.110,0.040,NULL,NULL,34.8,6.3,1085,630,NULL,NULL,423,2126,NULL,NULL
010058,2015,18.1,1.4,Not Available,Not Available,Not Available,10.8,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010059,2016,8.6,1.1,Not Available,6.5,Not Available,9.3,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010061,2010,0.034,0.000,NULL,NULL,27.8,N/A,357,152,NULL,NULL,36,N/A,NULL,NULL
010061,2013,7.6,0.0,4.3,4.0,Not Available,Not Available,577,213,186,626,Not Available,Not Available,NULL,NULL
010061,2016,4.5,0.0,Not Available,3.9,43.9,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010062,2011,0.461,0.000,NULL,NULL,N/A,5.9,152,79,NULL,NULL,N/A,424,NULL,NULL
010065,2010,0.269,0.208,NULL,NULL,30.6,15.4,971,486,NULL,NULL,111,977,NULL,NULL
010066,2012,Not Available,Not Available,Not Available,12.5,Not Available,Not Available,Not Available,Not Available,Not Available,40,Not Available,Not Available,NULL,NULL
010069,2011,0.030,0.000,NULL,NULL,N/A,7.9,202,119,NULL,NULL,N/A,429,NULL,NULL
010069,2014,11.3,6.0,3.0,Not Available,Not Available,6.0,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010073,2011,0.036,0.011,NULL,NULL,N/A,7.0,192,87,NULL,NULL,N/A,314,NULL,NULL
010073,2014,3.8,5.5,2.9,Not Available,Not Available,6.4,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010078,2010,0.093,0.012,NULL,NULL,32.2,9.3,980,838,NULL,NULL,242,862,NULL,NULL
010079,2012,0.367,0.024,7.5,2.6,Not Available,9.8,442,296,161,567,Not Available,886,NULL,NULL
010079,2015,22.2,0.6,10.3,5.8,Not Available,11.7,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010083,2015,17.5,9.4,6.3,3.3,Not Available,6.8,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010085,2012,0.124,0.042,6.5,0.3,39.1,8.5,823,602,536,698,128,2115,NULL,NULL
010085,2015,10.6,4.7,6.2,1.9,Not Available,11.5,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010086,2010,0.094,0.071,NULL,NULL,35.3,7.3,320,211,NULL,NULL,119,451,NULL,NULL
010086,2013,7.3,1.7,5.9,Not Available,40.2,19.7,426,234,273,Not Available,82,701,NULL,NULL
010087,2012,0.204,0.213,Not Available,5.2,Not Available,Not Available,157,75,Not Available,211,Not Available,Not Available,NULL,NULL
010089,2013,11.0,15.1,Not Available,4.4,36.4,4.8,620,271,Not Available,585,77,728,NULL,NULL
010089,2016,5.1,8.4,Not Available,3.0,56.4,5.2,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010090,2014,39.8,9.5,Not Available,2.4,40.0,11.9,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010091,2012,0.478,Not Available,Not Available,Not Available,Not Available,6.7,46,Not Available,Not Available,Not Available,Not Available,165,NULL,NULL
010091,2016,30.8,24.0,Not Available,Not Available,Not Available,8.9,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010092,2010,0.016,0.001,NULL,NULL,35.6,16.8,1146,1102,NULL,NULL,427,892,NULL,NULL
010095,2011,N/A,N/A,NULL,NULL,N/A,N/A,N/A,N/A,NULL,NULL,N/A,N/A,NULL,NULL
010095,2014,0.0,Not Available,Not Available,0.7,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010097,2011,0.247,N/A,NULL,NULL,N/A,7.0,97,N/A,NULL,NULL,N/A,242,NULL,NULL
010097,2014,22.6,Not Available,Not Available,Not Available,Not Available,7.7,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010099,2010,0.255,0.014,NULL,NULL,44.2,10.8,216,208,NULL,NULL,147,517,NULL,NULL
010100,2011,0.122,0.087,NULL,NULL,31.2,8.5,582,366,NULL,NULL,247,1829,NULL,NULL
010100,2014,4.0,2.3,3.7,1.8,33.2,6.1,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010101,2012,0.15,0.007,5.4,Not Available,Not Available,7.5,280,136,224,Not Available,Not Available,575,NULL,NULL
010101,2015,13.1,5.0,3.2,Not Available,Not Available,4.3,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010051,2010,N/A,N/A,NULL,NULL,N/A,N/A,N/A,N/A,NULL,NULL,N/A,N/A,NULL,NULL
010051,2013,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL
010051,2016,Not Available,Not Available,Not Available,Not Available,Not Available,8.3,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010052,2015,1.8,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010054,2012,0.035,0,5.1,0.4,31,10.9,256,182,79,235,84,450,NULL,NULL
010055,2010,0.012,0.002,NULL,NULL,33.3,4.4,1380,835,NULL,NULL,198,2840,NULL,NULL
010055,2013,5.6,0.5,6.1,4.5,27.1,5.9,1576,1166,544,937,177,3722,NULL,NULL
010056,2012,0.085,0.011,7.3,4.1,39.6,7.2,1254,735,331,879,384,2956,NULL,NULL
010056,2015,4.3,0.2,8.8,3.4,Not Available,6.1,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010058,2010,0.553,0.300,NULL,NULL,50.0,5.5,38,30,NULL,NULL,2,91,NULL,NULL
010058,2013,Not Available,Not Available,Not Available,Not Available,Not Available,8.5,Not Available,Not Available,Not Available,Not Available,Not Available,82,NULL,NULL
010058,2016,6.5,0.0,Not Available,Not Available,Not Available,8.1,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010059,2011,0.068,0.036,NULL,NULL,N/A,10.8,192,83,NULL,NULL,N/A,223,NULL,NULL
010059,2014,2.4,0.0,Not Available,6.0,Not Available,12.8,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010061,2015,4.8,0.0,1.8,5.6,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010062,2010,0.486,0.011,NULL,NULL,N/A,5.6,109,88,NULL,NULL,N/A,408,NULL,NULL
010062,2013,47.7,0.0,Not Available,Not Available,Not Available,7.8,132,58,Not Available,Not Available,Not Available,281,NULL,NULL
010062,2016,33.3,0.0,Not Available,Not Available,Not Available,5.7,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010065,2012,0.125,0.079,Not Available,1.3,34.7,11.9,953,543,Not Available,689,72,1077,NULL,NULL
010065,2015,7.4,2.6,Not Available,2.2,Not Available,9.4,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010066,2010,0.056,0.050,NULL,NULL,N/A,N/A,18,20,NULL,NULL,N/A,N/A,NULL,NULL
010066,2013,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL
010069,2013,10.6,9.0,10.5,Not Available,Not Available,7.0,254,133,114,Not Available,Not Available,485,NULL,NULL
010069,2016,4.5,6.1,5.0,Not Available,Not Available,6.1,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010073,2016,1.6,1.6,4.5,Not Available,Not Available,8.5,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010078,2012,0.099,0.007,8.9,3,40.1,8.2,1054,914,380,836,222,867,NULL,NULL
010078,2015,10.1,0.5,5.9,2.8,Not Available,13.0,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010079,2010,0.415,0.288,NULL,NULL,37.3,16.0,395,278,NULL,NULL,75,773,NULL,NULL
010079,2014,24.2,0.0,10.1,6.5,40.4,9.2,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010083,2010,0.713,0.046,NULL,NULL,30.2,8.3,659,373,NULL,NULL,225,1077,NULL,NULL
010083,2013,43.4,9.1,5.4,2.4,35.4,9.1,768,386,112,618,189,1165,NULL,NULL
010083,2016,21.2,14.2,5.6,4.2,32.0,6.7,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010085,2010,0.039,0.007,NULL,NULL,44.4,12.2,900,742,NULL,NULL,133,2018,NULL,NULL
010086,2012,0.084,0.014,4.9,Not Available,41.1,4.8,368,217,266,Not Available,95,599,NULL,NULL
010086,2015,6.9,3.6,5.1,Not Available,Not Available,8.8,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010087,2011,0.204,0.152,NULL,NULL,N/A,N/A,147,92,NULL,NULL,N/A,N/A,NULL,NULL
010087,2014,22.7,14.3,5.2,4.8,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010089,2011,0.084,0.146,NULL,NULL,46.8,5.9,487,213,NULL,NULL,62,696,NULL,NULL
010089,2014,11.1,14.5,3.1,2.4,39.4,5.1,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010090,2012,0.105,0.02,0,2.7,40.9,9.6,778,923,53,675,164,1579,NULL,NULL
010091,2011,N/A,N/A,NULL,NULL,N/A,4.6,N/A,N/A,NULL,NULL,N/A,131,NULL,NULL
010091,2014,36.9,43.8,Not Available,Not Available,45.7,5.4,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
010092,2012,0.03,0,4.2,2.1,40.7,17.8,1246,1091,385,1179,332,1022,NULL,NULL
010092,2015,2.3,0.2,4.0,2.5,Not Available,13.0,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010095,2013,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL
010095,2016,0.0,Not Available,Not Available,0.6,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
010097,2012,0.204,0.13,Not Available,Not Available,Not Available,5.5,93,69,Not Available,Not Available,Not Available,238,NULL,NULL
010099,2012,0.268,0.01,1.9,Not Available,51.1,12.5,205,201,52,Not Available,88,511,NULL,NULL
010099,2015,32.4,0.8,3.7,Not Available,Not Available,8.3,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
010102,2010,0.471,0.409,NULL,NULL,N/A,N/A,34,22,NULL,NULL,N/A,N/A,NULL,NULL
010102,2013,50.0,Not Available,Not Available,0.0,Not Available,4.8,54,Not Available,Not Available,90,Not Available,62,NULL,NULL
